Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"CDGDroid: Android Malware Detection Based on Deep Learning Using CFG and DFG","Formal Methods and Software Engineering","","","","10.1007/978-3-030-02450-5_11","Zhiwu XuKerong RenShengchao QinFlorin Craciun","2018","http://link.springer.com/chapter/10.1007/978-3-030-02450-5_11","Chapter"
"Dynamic Kernel/Device Mapping Strategies for GPU-Assisted HPC Systems","Job Scheduling Strategies for Parallel Processing","","","","10.1007/978-3-642-35867-8_6","Jiadong WuWeiming ShiBo Hong","2013","http://link.springer.com/chapter/10.1007/978-3-642-35867-8_6","Chapter"
"A Model-Driven Engineering Approach for the Well-Being of Ageing People","Advances in Conceptual Modeling","","","","10.1007/978-3-319-47717-6_3","Amanuel Alemayehu KoshimaVincent EnglebertMoussa AmaniAbdelmounaim DebiecheAmanuel Wakjira","2016","http://link.springer.com/chapter/10.1007/978-3-319-47717-6_3","Chapter"
"An Eclipse Modelling Framework Alternative to Meet the Models@Runtime Requirements","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-33666-9_7","François FouquetGrégory NainBrice MorinErwan DaubertOlivier BaraisNoël PlouzeauJean-Marc Jézéquel","2012","http://link.springer.com/chapter/10.1007/978-3-642-33666-9_7","Chapter"
"A Web Tool for Extracting and Viewing the Semantic Markups","Knowledge Science, Engineering and Management","","","","10.1007/978-3-642-39787-5_48","Sabin C. BuragaAndrei Panu","2013","http://link.springer.com/chapter/10.1007/978-3-642-39787-5_48","Chapter"
"Distributed Orchestration Versus Choreography: The FOCAS Approach","Trustworthy Software Development Processes","","","","10.1007/978-3-642-01680-6_9","Gabriel PedrazaJacky Estublier","2009","http://link.springer.com/chapter/10.1007/978-3-642-01680-6_9","Chapter"
"Enabling High-Performance Internet-Wide Measurements on Windows","Passive and Active Measurement","","","","10.1007/978-3-642-12334-4_13","Matt SmithDmitri Loguinov","2010","http://link.springer.com/chapter/10.1007/978-3-642-12334-4_13","Chapter"
"Abstracting Models from Execution Traces for Performing Formal Verification","Advances in Software Engineering","","","","10.1007/978-3-642-10619-4_18","Thierry BodhuinFederico PagnozziAntonella SantoneMaria TortorellaMaria Luisa Villani","2009","http://link.springer.com/chapter/10.1007/978-3-642-10619-4_18","Chapter"
"A Cloud Based Data Integration Framework","Collaborative Networks in the Internet of Services","","","","10.1007/978-3-642-32775-9_18","Nan JiangLai XuPaul de VriezeMian-Guan LimOscar Jarabo","2012","http://link.springer.com/chapter/10.1007/978-3-642-32775-9_18","Chapter"
"Configuring Concurrent Computation of Phylogenetic Partial Likelihoods: Accelerating Analyses Using the BEAGLE Library","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_39","Daniel L. AyresMichael P. Cummings","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_39","Chapter"
"Modelling the Dynamic Reconfiguration of Application Topologies, Faults Included","Coordination Models and Languages","","","","10.1007/978-3-319-59746-1_10","Antonio BrogiAndrea CancianiJacopo Soldani","2017","http://link.springer.com/chapter/10.1007/978-3-319-59746-1_10","Chapter"
"An Auto-Scaling Cloud Controller Using Fuzzy Q-Learning - Implementation in OpenStack","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-44482-6_10","Hamid ArabnejadPooyan JamshidiGiovani EstradaNabil El IoiniClaus Pahl","2016","http://link.springer.com/chapter/10.1007/978-3-319-44482-6_10","Chapter"
"Opening the Ecosystem Flood Gates: Architecture Challenges of Opening Interfaces Within a Product Portfolio","Software Architecture","","","","10.1007/978-3-319-23727-5_10","Slinger Jansen","2015","http://link.springer.com/chapter/10.1007/978-3-319-23727-5_10","Chapter"
"Design Science Research Demonstrators for Punctuation – The Establishment of a Service Ecosystem","Service-Oriented Perspectives in Design Science Research","","","","10.1007/978-3-642-20633-7_11","Daniel RudmarkMikael Lind","2011","http://link.springer.com/chapter/10.1007/978-3-642-20633-7_11","Chapter"
"A Combined Technique for Automatic Detection of Backward Binary Compatibility Problems","Perspectives of Systems Informatics","","","","10.1007/978-3-642-29709-0_27","Andrey PonomarenkoVladimir Rubanov","2012","http://link.springer.com/chapter/10.1007/978-3-642-29709-0_27","Chapter"
"Providing Context-Aware Adaptations Based on a Semantic Model","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-642-21387-8_5","Guido SöldnerRüdiger KapitzaRené Meier","2011","http://link.springer.com/chapter/10.1007/978-3-642-21387-8_5","Chapter"
"Designing Digital Innovation Contests","Design Science Research in Information Systems. Advances in Theory and Practice","","","","10.1007/978-3-642-29863-9_2","Anders HjalmarssonDaniel Rudmark","2012","http://link.springer.com/chapter/10.1007/978-3-642-29863-9_2","Chapter"
"Analyzing Web 2.0 Integration with Next Generation Networks for Services Rendering","Recent Trends in Networks and Communications","","","","10.1007/978-3-642-14493-6_60","Kamaljit I. LakhtariaDhinaharan Nagamalai","2010","http://link.springer.com/chapter/10.1007/978-3-642-14493-6_60","Chapter"
"Why Do Scala Developers Mix the Actor Model with other Concurrency Models?","ECOOP 2013 – Object-Oriented Programming","","","","10.1007/978-3-642-39038-8_13","Samira TasharofiPeter DingesRalph E. Johnson","2013","http://link.springer.com/chapter/10.1007/978-3-642-39038-8_13","Chapter"
"Testing Library Specifications by Verifying Conformance Tests","Tests and Proofs","","","","10.1007/978-3-642-30473-6_6","Joseph R. KiniryDaniel M. ZimmermanRalph Hyland","2012","http://link.springer.com/chapter/10.1007/978-3-642-30473-6_6","Chapter"
"Formal Modeling and Reasoning about the Android Security Framework","Trustworthy Global Computing","","","","10.1007/978-3-642-41157-1_5","Alessandro ArmandoGabriele CostaAlessio Merlo","2013","http://link.springer.com/chapter/10.1007/978-3-642-41157-1_5","Chapter"
"Teaching Program Specification and Verification Using JML and ESC/Java2","Teaching Formal Methods","","","","10.1007/978-3-642-04912-5_7","Erik Poll","2009","http://link.springer.com/chapter/10.1007/978-3-642-04912-5_7","Chapter"
"Benchmarking Parallel Performance on Many-Core Processors","OpenSHMEM and Related Technologies. Experiences, Implementations, and Tools","","","","10.1007/978-3-319-05215-1_3","Bryant C. LamAjay BarbozaRavi AgrawalAlan D. GeorgeHerman Lam","2014","http://link.springer.com/chapter/10.1007/978-3-319-05215-1_3","Chapter"
"Developer-Centric Knowledge Mining from Large Open-Source Software Repositories (CROSSMINER)","Software Technologies: Applications and Foundations","","","","10.1007/978-3-319-74730-9_33","Alessandra BagnatoKonstantinos BarmpisNik BessisLuis Adrián Cabrera-DiegoJuri Di RoccoDavide Di RuscioTamás GergelyScott HansenDimitris KolovosPhilippe KriefIoannis KorkontzelosStéphane LaurièreJose Manrique Lopez de la FuentePedro MalóRichard F. PaigeDiomidis Spinellis","2018","http://link.springer.com/chapter/10.1007/978-3-319-74730-9_33","Chapter"
"An Ontology-Based Reasoning Approach for Electric Power Utilities","Web Reasoning and Rule Systems","","","","10.1007/978-3-642-39666-3_8","Mohamed GahaArnaud ZinflouChristian LangheitAlexandre BouffardMathieu ViauLuc Vouligny","2013","http://link.springer.com/chapter/10.1007/978-3-642-39666-3_8","Chapter"
"Identifying Inter-Component Control Flow in Web Applications","Engineering the Web in the Big Data Era","","","","10.1007/978-3-319-19890-3_5","William G. J. Halfond","2015","http://link.springer.com/chapter/10.1007/978-3-319-19890-3_5","Chapter"
"Semantic Knowledge and Service Models for Energy-Aware Systems","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_38","Jarmo Kalaoja","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_38","Chapter"
"HelDroid: Dissecting and Detecting Mobile Ransomware","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-319-26362-5_18","Nicoló AndronioStefano ZaneroFederico Maggi","2015","http://link.springer.com/chapter/10.1007/978-3-319-26362-5_18","Chapter"
"The Business Network Data Management Platform","Big Data","","","","10.1007/978-3-642-39467-6_20","Daniel Ritter","2013","http://link.springer.com/chapter/10.1007/978-3-642-39467-6_20","Chapter"
"Implementation of a DevOps Pipeline for Serverless Applications","Product-Focused Software Process Improvement","","","","10.1007/978-3-030-03673-7_4","Vitalii IvanovKari Smolander","2018","http://link.springer.com/chapter/10.1007/978-3-030-03673-7_4","Chapter"
"Managing the Life-Cycle of Linked Data with the LOD2 Stack","The Semantic Web – ISWC 2012","","","","10.1007/978-3-642-35173-0_1","Sören AuerLorenz BühmannChristian DirschlOrri ErlingMichael HausenblasRobert IseleJens LehmannMichael MartinPablo N. MendesBert van NuffelenClaus StadlerSebastian TrampHugh Williams","2012","http://link.springer.com/chapter/10.1007/978-3-642-35173-0_1","Chapter"
"Modeling and Querying Greek Legislation Using Semantic Web Technologies","The Semantic Web","","","","10.1007/978-3-319-58068-5_36","Ilias ChalkidisCharalampos NikolaouPanagiotis SoursosManolis Koubarakis","2017","http://link.springer.com/chapter/10.1007/978-3-319-58068-5_36","Chapter"
"Designing for Different Users and Multiple Devices: A Roadmap towards Inclusive Environments","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40483-2_43","Ig Ibert BittencourtMaria Cecília BaranauskasDiego DermevalJuliana BragaRoberto Pereira","2013","http://link.springer.com/chapter/10.1007/978-3-642-40483-2_43","Chapter"
"A Performance and Scalability Analysis of the MPI Based Tools Utilized in a Large Ice Sheet Model Executing in a Multicore Environment","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-27140-8_10","Phillip Dickens","2015","http://link.springer.com/chapter/10.1007/978-3-319-27140-8_10","Chapter"
"iUCP – Estimating Interaction Design Projects with Enhanced Use Case Points","Task Models and Diagrams for User Interface Design","","","","10.1007/978-3-642-11797-8_11","Nuno Jardim Nunes","2010","http://link.springer.com/chapter/10.1007/978-3-642-11797-8_11","Chapter"
"Semantic Interoperability as Key to IoT Platform Federation","Interoperability and Open-Source Solutions for the Internet of Things","","","","10.1007/978-3-319-56877-5_1","Michael JacobyAleksandar AntonićKarl KreinerRoman ŁapaczJasmin Pielorz","2017","http://link.springer.com/chapter/10.1007/978-3-319-56877-5_1","Chapter"
"Mining Function Call Sequence Patterns Across Different Versions of the Project for Defect Detection","Software Analysis, Testing, and Evolution","","","","10.1007/978-3-030-04272-1_10","Zhanqi CuiXiang ChenYongmin MuZhihua ZhangXu Ma","2018","http://link.springer.com/chapter/10.1007/978-3-030-04272-1_10","Chapter"
"Simulation and Implementation of the Autonomic Service Mobility Framework","Bioinspired Models of Network, Information, and Computing Systems","","","","10.1007/978-3-642-12808-0_6","Janne LahtiHelena RivasJyrki HuuskoVille Könönen","2010","http://link.springer.com/chapter/10.1007/978-3-642-12808-0_6","Chapter"
"Conclusions from the Evaluation of Virtual Machine Based High Resolution Display Wall System","Databases and Information Systems","","","","10.1007/978-3-319-40180-5_15","Rudolfs BundulisGuntis Arnicans","2016","http://link.springer.com/chapter/10.1007/978-3-319-40180-5_15","Chapter"
"On Automated Testing of Description Logic Reasoners","Distributed Computing and Internet Technology","","","","10.1007/978-3-540-89737-8_2","Marian BabikLadislav Hluchy","2009","http://link.springer.com/chapter/10.1007/978-3-540-89737-8_2","Chapter"
"Biotelemetry System for Remote Monitoring of Cardiac Signals and Temperature Using Social Networks","Internet of Things. IoT Infrastructures","","","","10.1007/978-3-319-47075-7_8","Melissa MontalvoAndrea GarcíaJulio MontesdeocaRené Ávila","2016","http://link.springer.com/chapter/10.1007/978-3-319-47075-7_8","Chapter"
"Security SLA in Next Generation Data Centers, the SPECS Approach","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_8","Massimiliano RakValentina CasolaSilvio La PortaAndrew Byrne","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_8","Chapter"
"How Clean Is Your Sandbox?","Theory and Practice of Model Transformations","","","","10.1007/978-3-642-30476-7_1","James F. TerwilligerAnthony CleveCarlo A. Curino","2012","http://link.springer.com/chapter/10.1007/978-3-642-30476-7_1","Chapter"
"Features Need Stories","Formal Foundations of Reuse and Domain Engineering","","","","10.1007/978-3-642-04211-9_6","Sidney C. Bailin","2009","http://link.springer.com/chapter/10.1007/978-3-642-04211-9_6","Chapter"
"Structuring Complexity Issues for Efficient Realization of Agile Business Requirements in Distributed Environments","Agile Processes in Software Engineering and Extreme Programming","","","","10.1007/978-3-642-13054-0_19","Richard MordinyiEva KühnAlexander Schatten","2010","http://link.springer.com/chapter/10.1007/978-3-642-13054-0_19","Chapter"
"DSLs in Robotics: A Case Study in Programming Self-reconfigurable Robots","Grand Timely Topics in Software Engineering","","","","10.1007/978-3-319-60074-1_5","Ulrik Pagh SchultzMirko BordignonKasper StoyArne NordmannNico HochgeschwenderSebastian Wrede","2017","http://link.springer.com/chapter/10.1007/978-3-319-60074-1_5","Chapter"
"Analysis of Open Source Software Development Iterations by Means of Burst Detection Techniques","Open Source Ecosystems: Diverse Communities Interacting","","","","10.1007/978-3-642-02032-2_9","Bruno RossiBarbara RussoGiancarlo Succi","2009","http://link.springer.com/chapter/10.1007/978-3-642-02032-2_9","Chapter"
"Model-Based Mining of Source Code Repositories","System Analysis and Modeling: Models and Reusability","","","","10.1007/978-3-319-11743-0_17","Markus ScheidgenJoachim Fischer","2014","http://link.springer.com/chapter/10.1007/978-3-319-11743-0_17","Chapter"
"Onto-DIY: A Flexible and Idea Inspiring Ontology-Based Do-It-Yourself Architecture for Managing Data Semantics and Semantic Data","On the Move to Meaningful Internet Systems, OTM 2010","","","","10.1007/978-3-642-16949-6_27","Yan TangChristophe DebruyneJohan Criel","2010","http://link.springer.com/chapter/10.1007/978-3-642-16949-6_27","Chapter"
"An Infrastructure for the Design and Development of Open Interaction Systems","Engineering Multi-Agent Systems","","","","10.1007/978-3-642-45343-4_12","Daniel OkouyaNicoletta FornaraMarco Colombetti","2013","http://link.springer.com/chapter/10.1007/978-3-642-45343-4_12","Chapter"
"ADVISE – A Framework for Evaluating Cloud Service Elasticity Behavior","Service-Oriented Computing","","","","10.1007/978-3-662-45391-9_19","Georgiana CopilDemetris TrihinasHong-Linh TruongDaniel MoldovanGeorge PallisSchahram DustdarMarios Dikaiakos","2014","http://link.springer.com/chapter/10.1007/978-3-662-45391-9_19","Chapter"
"Built-In Data-Flow Integration Testing in Large-Scale Component-Based Systems","Testing Software and Systems","","","","10.1007/978-3-642-16573-3_7","Éric PielAlberto Gonzalez-SanchezHans-Gerhard Gross","2010","http://link.springer.com/chapter/10.1007/978-3-642-16573-3_7","Chapter"
"Reliable Dynamic Reconfigurations in a Reflective Component Model","Component-Based Software Engineering","","","","10.1007/978-3-642-13238-4_5","Marc LégerThomas LedouxThierry Coupaye","2010","http://link.springer.com/chapter/10.1007/978-3-642-13238-4_5","Chapter"
"A Document-Centric Approach to Open Collaboration Processes","Current Trends in Web Engineering","","","","10.1007/978-3-642-16985-4_52","Nelly SchusterChristian ZirpinsStefan Tai","2010","http://link.springer.com/chapter/10.1007/978-3-642-16985-4_52","Chapter"
"BEACON: A Cloud Network Federation Framework","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-33313-7_25","Rafael Moreno-VozmedianoEduardo HuedoIgnacio M. LlorenteRubén S. MonteroPhilippe MassonetMassimo VillariGiovanni MerlinoAntonio CelestiAnna LevinLiran SchourConstantino VázquezJaime MelisStefan SpahrDarren Whigham","2016","http://link.springer.com/chapter/10.1007/978-3-319-33313-7_25","Chapter"
"The Brightnest Web-Based Home Automation System","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_14","Benjamin PlancheBryan Isaac MalynDaniel Buldon BlancoManuel Cerrillo Bermejo","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_14","Chapter"
"Telco Service Delivery Platforms in the Last Decade - A R&D Perspective","Leveraging Applications of Formal Methods, Verification, and Validation","","","","10.1007/978-3-642-16558-0_31","Sandford Bessler","2010","http://link.springer.com/chapter/10.1007/978-3-642-16558-0_31","Chapter"
"Iterative Model-Driven Development of Software Extensions for Web Content Management Systems","Modelling Foundations and Applications","","","","10.1007/978-3-319-61482-3_9","Dennis PrieferPeter KneiselDaniel Strüber","2017","http://link.springer.com/chapter/10.1007/978-3-319-61482-3_9","Chapter"
"Improving Unfamiliar Code with Unit Tests: An Empirical Investigation on Tool-Supported and Human-Based Testing","Product-Focused Software Process Improvement","","","","10.1007/978-3-642-31063-8_22","Dietmar WinklerMartina SchmidtRudolf RamlerStefan Biffl","2012","http://link.springer.com/chapter/10.1007/978-3-642-31063-8_22","Chapter"
"Augmented Reality and UAVs in Archaeology: Development of a Location-Based AR Application","Augmented Reality, Virtual Reality, and Computer Graphics","","","","10.1007/978-3-319-60928-7_23","Maria Concetta BotrugnoGiovanni D’ErricoLucio Tommaso De Paolis","2017","http://link.springer.com/chapter/10.1007/978-3-319-60928-7_23","Chapter"
"Implicit Social Production: Utilising Socially Generated Data By-Products","Business Process Management Workshops","","","","10.1007/978-3-642-20511-8_34","Ben JenningsAnthony Finkelstein","2011","http://link.springer.com/chapter/10.1007/978-3-642-20511-8_34","Chapter"
"An Experimental Study on Incremental Search-Based Software Engineering","Search Based Software Engineering","","","","10.1007/978-3-642-39742-4_5","Márcio de Oliveira Barros","2013","http://link.springer.com/chapter/10.1007/978-3-642-39742-4_5","Chapter"
"Using Technologies of OLAP and Machine Learning for Validation of the Numerical Models of Convective Clouds","Computational Science and Its Applications -- ICCSA 2016","","","","10.1007/978-3-319-42111-7_36","Elena N. StankovaAndrey V. BalakshiyDmitry A. PetrovAndrey V. ShorovVladimir V. Korkhov","2016","http://link.springer.com/chapter/10.1007/978-3-319-42111-7_36","Chapter"
"From Periphery to Core: A Temporal Analysis of GitHub Contributors’ Collaboration Network","Collaboration in a Data-Rich World","","","","10.1007/978-3-319-65151-4_21","Ikram El AsriNoureddine KerzaziLamia BenhibaMohammed Janati","2017","http://link.springer.com/chapter/10.1007/978-3-319-65151-4_21","Chapter"
"A Higher-Order Agent Model with Contextual Planning Management for Ambient Systems","Transactions on Computational Collective Intelligence XVI","","","","10.1007/978-3-662-44871-7_6","Ahmed-Chawki ChaoucheAmal El Fallah SeghrouchniJean-Michel IliéDjamel Eddine Saïdouni","2014","http://link.springer.com/chapter/10.1007/978-3-662-44871-7_6","Chapter"
"Formal Methods in Agent-Oriented Software Engineering","Agent-Oriented Software Engineering X","","","","10.1007/978-3-642-19208-1_15","Amal El Fallah-SeghrouchniJorge J. Gomez-SanzMunindar P. Singh","2011","http://link.springer.com/chapter/10.1007/978-3-642-19208-1_15","Chapter"
"An Architecture for Modeling and Applying Quality Processes on Evolving Software","Trustworthy Software Development Processes","","","","10.1007/978-3-642-01680-6_10","Fadrian SudamanChristine MinginsMartin Dick","2009","http://link.springer.com/chapter/10.1007/978-3-642-01680-6_10","Chapter"
"Evidence-Based Management of Outsourced Software Projects","Software Engineering Approaches for Offshore and Outsourced Development","","","","10.1007/978-3-642-01856-5_11","Fadrian SudamanChristine Mingins","2009","http://link.springer.com/chapter/10.1007/978-3-642-01856-5_11","Chapter"
"What Strokes to Modify in the Painting? Code Changes Prediction for Object-Oriented Software","Software Analysis, Testing, and Evolution","","","","10.1007/978-3-030-04272-1_7","Dinan ZhangShizhan ChenQiang HeZhiyong FengKeman Huang","2018","http://link.springer.com/chapter/10.1007/978-3-030-04272-1_7","Chapter"
"A Transformation Workbench for Building Information Models","Theory and Practice of Model Transformations","","","","10.1007/978-3-642-21732-6_7","Jim SteelKeith DuddyRobin Drogemuller","2011","http://link.springer.com/chapter/10.1007/978-3-642-21732-6_7","Chapter"
"On the Need for Temporal Model Repositories","Software Technologies: Applications and Foundations","","","","10.1007/978-3-319-74730-9_11","Robert BillAlexandra MazakManuel WimmerBirgit Vogel-Heuser","2018","http://link.springer.com/chapter/10.1007/978-3-319-74730-9_11","Chapter"
"SATMC: A SAT-Based Model Checker for Security-Critical Systems","Tools and Algorithms for the Construction and Analysis of Systems","","","","10.1007/978-3-642-54862-8_3","Alessandro ArmandoRoberto CarboneLuca Compagna","2014","http://link.springer.com/chapter/10.1007/978-3-642-54862-8_3","Chapter"
"An Ontology-Driven Search Module for Accessing Chronic Pathology Literature","On the Move to Meaningful Internet Systems: OTM 2011 Workshops","","","","10.1007/978-3-642-25126-9_50","Stephan KieferJochen RauchRiccardo AlbertoniMarco AtteneFranca GianniniSimone MariniLuc SchneiderCarlos MesquitaXin Xing","2011","http://link.springer.com/chapter/10.1007/978-3-642-25126-9_50","Chapter"
"Delta-Oriented Monitor Specification","Leveraging Applications of Formal Methods, Verification and Validation. Technologies for Mastering Change","","","","10.1007/978-3-642-34026-0_13","Eric BoddenKevin FalzonKa I. PunVolker Stolz","2012","http://link.springer.com/chapter/10.1007/978-3-642-34026-0_13","Chapter"
"State of the Art of Dynamic Software Updating in Java","Software Technologies","","","","10.1007/978-3-662-44920-2_7","Allan Raundahl GregersenMichael RasmussenBo Nørregaard Jørgensen","2014","http://link.springer.com/chapter/10.1007/978-3-662-44920-2_7","Chapter"
"Classifying Big Data Analytic Approaches: A Generic Architecture","Software Technologies","","","","10.1007/978-3-319-93641-3_13","Yudith CardinaleSonia GuehisMarta Rukoz","2018","http://link.springer.com/chapter/10.1007/978-3-319-93641-3_13","Chapter"
"A Role-Based Language for Collaborative Robot Applications","Leveraging Applications of Formal Methods, Verification, and Validation","","","","10.1007/978-3-642-34781-8_1","Sebastian GötzMax LeuthäuserJan ReimannJulia SchroeterChristian WendeClaas WilkeUwe Aßmann","2012","http://link.springer.com/chapter/10.1007/978-3-642-34781-8_1","Chapter"
"Efficient, Interactive Recommendation of Mashup Composition Knowledge","Service-Oriented Computing","","","","10.1007/978-3-642-25535-9_25","Soudip Roy ChowdhuryFlorian DanielFabio Casati","2011","http://link.springer.com/chapter/10.1007/978-3-642-25535-9_25","Chapter"
"The High Performance Internet of Things: Using GVirtuS to Share High-End GPUs with ARM Based Cluster Computing Nodes","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-642-55224-3_69","Giuliano LaccettiRaffaele MontellaCarlo PalmieriValentina Pelliccia","2014","http://link.springer.com/chapter/10.1007/978-3-642-55224-3_69","Chapter"
"Security Concerns in Cloud Computing","High Performance Architecture and Grid Computing","","","","10.1007/978-3-642-22577-2_14","Puneet Jai KaurSakshi Kaushal","2011","http://link.springer.com/chapter/10.1007/978-3-642-22577-2_14","Chapter"
"HTML5 Agents: Mobile Agents for the Web","Web Information Systems and Technologies","","","","10.1007/978-3-662-44300-2_4","Kari SystäTommi MikkonenLaura Järvenpää","2014","http://link.springer.com/chapter/10.1007/978-3-662-44300-2_4","Chapter"
"An Evaluation of Mashup Tools Based on Support for Heterogeneous Mashup Components","Current Trends in Web Engineering","","","","10.1007/978-3-642-27997-3_1","Saeed AghaeeCesare Pautasso","2012","http://link.springer.com/chapter/10.1007/978-3-642-27997-3_1","Chapter"
"Experimenting New Metaphors for PDM through a Model Driven Engineering Scheme","Product Lifecycle Management for Society","","","","10.1007/978-3-642-41501-2_57","Frédéric NoëlMohd Azwan Azli","2013","http://link.springer.com/chapter/10.1007/978-3-642-41501-2_57","Chapter"
"Declarative Name Binding and Scope Rules","Software Language Engineering","","","","10.1007/978-3-642-36089-3_18","Gabriël KonatLennart KatsGuido WachsmuthEelco Visser","2013","http://link.springer.com/chapter/10.1007/978-3-642-36089-3_18","Chapter"
"A Model and Platform for Building Agent-Based Pervasive Mixed Reality Systems","Advances in Practical Applications of Agents, Multi-Agent Systems, and Complexity: The PAAMS Collection","","","","10.1007/978-3-319-94580-4_10","Angelo CroattiAlessandro Ricci","2018","http://link.springer.com/chapter/10.1007/978-3-319-94580-4_10","Chapter"
"Social Network Analysis Applied to Recommendation Systems: Alleviating the Cold-User Problem","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-642-35377-2_42","Eduardo CastillejoAitor AlmeidaDiego López-de-Ipiña","2012","http://link.springer.com/chapter/10.1007/978-3-642-35377-2_42","Chapter"
"Systematic Recovery of MDE Technology Usage","Theory and Practice of Model Transformation","","","","10.1007/978-3-319-93317-7_5","Juri Di RoccoDavide Di RuscioJohannes HärtelLudovico IovinoRalf LämmelAlfonso Pierantonio","2018","http://link.springer.com/chapter/10.1007/978-3-319-93317-7_5","Chapter"
"PriGuardTool: A Web-Based Tool to Detect Privacy Violations Semantically","Engineering Multi-Agent Systems","","","","10.1007/978-3-319-50983-9_5","Nadin KökciyanPınar Yolum","2016","http://link.springer.com/chapter/10.1007/978-3-319-50983-9_5","Chapter"
"An IMS DSL Developed at Ericsson","SDL 2013: Model-Driven Dependability Engineering","","","","10.1007/978-3-642-38911-5_9","Pascal PotvinMario BonjaGordon BaileyPierre Busnel","2013","http://link.springer.com/chapter/10.1007/978-3-642-38911-5_9","Chapter"
"Semantic Engine and Cloud Agency for Vendor Agnostic Retrieval, Discovery, and Brokering of Cloud Services","Intelligent Cloud Computing","","","","10.1007/978-3-319-19848-4_2","Alba AmatoGiuseppina CretellaBeniamino Di MartinoLuca TasquierSalvatore Venticinque","2015","http://link.springer.com/chapter/10.1007/978-3-319-19848-4_2","Chapter"
"Automated Test Generation for Java Generics","Software Quality. Model-Based Approaches for Advanced Software and Systems Engineering","","","","10.1007/978-3-319-03602-1_12","Gordon FraserAndrea Arcuri","2014","http://link.springer.com/chapter/10.1007/978-3-319-03602-1_12","Chapter"
"The Qanary Ecosystem: Getting New Insights by Composing Question Answering Pipelines","Web Engineering","","","","10.1007/978-3-319-60131-1_10","Dennis DiefenbachKuldeep SinghAndreas BothDidier CherixChristoph LangeSören Auer","2017","http://link.springer.com/chapter/10.1007/978-3-319-60131-1_10","Chapter"
"A Decentralized Cloud Management Architecture Based on Application Autonomous Systems","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_6","Dapeng DongHuanhuan XiongGabriel G. CastañéJohn P. Morrison","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_6","Chapter"
"SemanticXO: Connecting the XO with the World’s Largest Information Network","e-Technologies and Networks for Development","","","","10.1007/978-3-642-22729-5_22","Christophe GuéretStefan Schlobach","2011","http://link.springer.com/chapter/10.1007/978-3-642-22729-5_22","Chapter"
"Composing RESTful Services with JOpera","Software Composition","","","","10.1007/978-3-642-02655-3_11","Cesare Pautasso","2009","http://link.springer.com/chapter/10.1007/978-3-642-02655-3_11","Chapter"
"Implications of Integration and Interoperability for Enterprise Cloud-Based Applications","Cloud Computing","","","","10.1007/978-3-319-38904-2_22","Justice Opara-MartinsReza SahandiFeng Tian","2016","http://link.springer.com/chapter/10.1007/978-3-319-38904-2_22","Chapter"
"From Search Engines to Augmented Search Services: An End-User Development Approach","Web Engineering","","","","10.1007/978-3-319-60131-1_7","Gabriela BosettiSergio FirmenichAlejandro FernandezMarco WincklerGustavo Rossi","2017","http://link.springer.com/chapter/10.1007/978-3-319-60131-1_7","Chapter"
"A Conceptual Framework for Unified and Comprehensive SOA Management","Service-Oriented Computing – ICSOC 2008 Workshops","","","","10.1007/978-3-642-01247-1_4","Ingo MüllerJun HanJean-Guy SchneiderSteven Versteeg","2009","http://link.springer.com/chapter/10.1007/978-3-642-01247-1_4","Chapter"
"Using Event Spaces, Setting and Theme to Assist the Interpretation and Development of Museum Stories","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-319-13704-9_25","Paul MulhollandAnnika WolffEoin KilfeatherEvin McCarthy","2014","http://link.springer.com/chapter/10.1007/978-3-319-13704-9_25","Chapter"
"Design and Implementation of a Novel Distributed Memory File System","Advanced Computing","","","","10.1007/978-3-642-17881-8_14","Urvashi KarnaniRajesh KalmadyPhool ChandAnup BhattacharjeeB. S. Jagadeesh","2011","http://link.springer.com/chapter/10.1007/978-3-642-17881-8_14","Chapter"
